"","EMVCOMMMKT","MCOILWTICO","MCOILBRENTEU","MJFUELUSGULF","IR","IQAG","CUURX000SAM1","CUURX000SACL1E","WPS022","WPS022206","CUURA000SACE","CUURX000SACL1","CUURA000SACL1","WPS0551","WPS0573","WPS054321","WPS026","WPS055","WPS057103","WPS057302","WPS0132","WPS013102","WPS011102","WPS0571","WPS0542","WPS0142"
"1999-02",-1.88981315587408,-0.0407348242811502,-0.0756075607560756,-0.0748502994011977,-0.00109529025191668,-0.0235404896421846,0.00485436893203883,-0.299999999999983,-0.01067615658363,0.00546448087431695,-13.1,-0.5,-0.599999999999994,-0.00976909413854343,-0.0760095011876485,-0.00276752767527688,0.00218023255813971,-0.00852272727272718,-0.03971119133574,-0.0993227990970654,-0.0190839694656488,-0.0221962616822429,0.107365792759051,-0.0523138832997988,0,0.0186500888099468
"1999-03",-13.3065343496811,0.222314737718568,0.21811100292113,0.223300970873787,0.0032894736842104,-0.029893924783028,0.00193236714975842,-0.200000000000003,0.0179856115107915,0.0163043478260869,-5,0,0.599999999999994,-0.0116591928251121,0.16452442159383,0.00185013876040707,-0.00217548948513424,-0.00477554918815659,0.0469924812030076,0.12531328320802,-0.0914396887159532,-0.017921146953405,0.0484780157835401,0.0467091295116773,0,0.00697471665213589
"1999-04",-1.26989271606766,0.179155313351498,0.222222222222222,0.137566137566137,0.00983606557377059,0.00397614314115313,0.0048216007714561,0.299999999999997,-0.0229681978798587,-0.0160427807486631,14.3,1.80000000000001,2.5,0.00907441016333932,0.17439293598234,-0.000923361034164349,0,0.00767754318618041,0.228007181328546,0.149220489977728,0,-0.0291970802919709,-0.0526881720430108,0.288032454361055,-0.000775795190069761,0.00346320346320361
"1999-05",0.856355186051213,0.02368573079145,-0.00392413342053621,-0.0348837209302326,0.00757575757575735,0.00396039603960396,0.00287907869481763,-0.299999999999997,0.0244122965641953,0.0043478260869565,10.7,1.3,-0.699999999999989,0.0107913669064748,-0.0150375939849625,0,0.00145348837209314,0.0133333333333334,-0.0292397660818713,-0.00968992248062017,0.147751605995717,0.0664160401002505,0.0669693530079456,-0.0377952755905512,0.00232919254658381,0.0491803278688523
"1999-06",0.968478835567442,0.0112866817155757,0.0413657255416939,0.0602409638554218,-0.00214822771213741,-0.00295857988165693,0.00478468899521522,-0.100000000000009,0.0105913503971757,0.0378787878787878,6.5,1,-0.200000000000017,0.00711743772241991,0.0343511450381679,-0.00369685767097971,-0.000725689404934893,0.012218045112782,-0.00150602409638567,0.0254403131115459,-0.080223880597015,0.0223266745005877,0.0106382978723405,-0.00163666121112926,-0.00232378001549172,0.018092105263158
"1999-07",0.129790259509421,0.121651785714286,0.203026481715006,0.163636363636364,0.00968783638320758,-0.0217606330365974,0.00476190476190474,-0.199999999999989,-0.017467248908297,-0.0166840458811263,11.5,1.40000000000001,0.599999999999994,0.00971731448763236,0.116236162361623,0.00371057513914663,0.00798838053740036,0.0102135561745589,0.0889894419306185,0.145038167938931,-0.0547667342799187,0.0632183908045978,0.00736842105263169,0.0918032786885246,0.00232919254658381,0.00565428109854604
"1999-08",1.60925290792192,0.0587064676616915,0.0597484276729561,0.1015625,0.0106609808102345,0.019211324570273,0.00473933649289093,-0.500000000000014,0.0186666666666666,0.0169671261930011,22,1.89999999999999,0.700000000000017,0.0166229221347332,0.0561983471074381,0.00184842883548986,-0.000720461095101044,0.0229779411764706,0.077562326869806,0.01,0.201716738197425,-0.0324324324324324,0.0271682340647856,0.0900900900900901,0,-0.00803212851405621
"1999-09",0.458322279123489,0.118421052631579,0.114737883283877,0.0886524822695036,0.010548523206751,-0.000992063492063489,0.00377358490566038,0.800000000000011,0.0191972076788831,-0.00417101147028165,26.8,3.3,1.5,0.0206540447504302,-0.0125195618153364,0,0.00360490266762792,0.0278526504941601,0.0295629820051413,0.0429042904290429,-0.0107142857142858,-0.0256983240223463,-0.0539165818921669,0.0330578512396695,-0.000774593338497276,0.0153846153846153
"1999-10",-0.803075769631507,-0.0466386554621848,-0.0239574090505768,-0.0309446254071661,0.0020876826722338,-0.000993048659384432,0.000939849624060018,0,0.00256849315068486,0.00942408376963355,26.5,3.10000000000001,0.0999999999999943,-0.00843170320404718,-0.0253565768621237,0.000922509225092183,0,-0.0148601398601399,-0.0461922596754056,-0.0585443037974684,0.0631768953068592,0.0355504587155964,-0.102150537634409,-0.0426666666666667,0.000775193798449481,-0.0199362041467305
"1999-11",1.69288193796424,0.101806963420009,0.117272727272727,0.110924369747899,0.0072916666666667,-0.00994035785288272,0.00187793427230054,-0.0999999999999943,0,0.00622406639004147,26.7,3.09999999999999,-0.199999999999989,0.0212585034013606,0.102439024390244,0.00737327188940085,0.00215517241379315,0.023070097604259,0.0523560209424083,0.171428571428571,0.105263157894737,0.0221483942414176,0.045508982035928,0.0668523676880222,0.00464756003098366,-0.0252237591537836
