"","LFESEETTCAM647S","LFEASETTCAM647S","LFEACNTTCAM647S","CANPROCONMISMEI","CANPRINTO01GPSAM","CP0430FRM086NEST","CP0432FRM086NEST","CP0440FRM086NEST","FRAPREND401IXOBSAM","FRALOCOBPNOSTSAM","FRALOCOBPORSTSAM","FRAPROCONMISMEI","FRAPRCNTO01GPSAM","SERVTRFRM086NEST","CP1260FRM086NEST","BVDEFT02FRM460S","DEUBRODFT02STSAM","BVEMTE02DEM460S","BCEMFT02DEM460S","CP0410DEM086NEST","CP0444DEM086NEST","DEUPERMITMISMEI","DEUPRINTO01GPSAM","DEUPROCONMISMEI","DEUPRCNTO01GPSAM","DEUCPHPSE01IXOBM","CP1200DEM086NEST","CP1120DEM086NEST","DEUCP120000GPM","CP1260DEM086NEST","SERVCODEM086NEST","LFESEETTJPM647S","GBRCP040200IXOBM","GBRPRMITO01IXOBSAM","GBRLOCOBPNOSTSAM","GBRPREND401IXOBM","GBRCP040400IXOBM","GBRCPHPSE01IXOBM","GBRCPGRSE01IXOBM","GBRCPGRLH02IXOBM","A132RC1","ASPNHSUS","AUTHNOTT"
"1998-03",0.00294663130709094,0.00273737737815738,-0.00137381508448964,-0.0094795873742709,-0.200130346220895,0.0699999999999932,1.27000000000001,0.0499999999999972,0.0118389024120387,0.000311723842858491,0.204,-0.00732675282385264,-0.00732675282385264,-0.129999999999995,2.12,0.016,-0.176,0.00400000000000006,-0.02,-0.200000000000003,1.2,0.0503472222222221,0.0133868808567604,0.0302287581699403,0.0215262265243649,0.799999999999997,0,-0.399999999999999,0,0,-0.0120253164556963,-0.0014823049842505,1.8,-0.033045977011494,-0.00320518034110451,15.0026983270369,2.2,0,0.100000000000001,1.97428595242781,0.0058170436425915,-0.0170704845814978,3.30000000000001
"1998-04",0.00116654857162612,0.0020304272640721,0.00151327555372127,0.00311651884844721,-1.44516759645258,0.019999999999996,1.3,0.280000000000001,0.0256971022416626,-0.00043091128147732,0.174,-0.00451050743208614,-0.00451050743208618,-0.0100000000000051,2.12,0.018,-0.218,0.023,0.0610000000000001,0.100000000000009,1.5,0.0732782369146006,-0.00924702774108327,-0.0293417922283955,-0.0418908118362332,1.3,-1.4210854715202e-14,2.5,-3.09398760887994e-06,-0.0117753623188407,0.00384368994234463,-0.00334013731675631,1.90000000000001,-0.0401188707280833,-0.00341289971093417,14.031300593632,3.1,0.0999999999999943,0.100000000000001,2.073248454663,0.00537239820332913,-0.0100840336134453,10.8
"1998-05",0.000906258361312196,0.00185179798919943,-0.000686813186813184,-0.00302916542609011,0.821196913001451,-0.109999999999999,1.31,-0.229999999999997,-0.0110874200426444,-0.00123123676419179,0.16,0.00339820821748527,0.00339820821748541,-0.140000000000015,2.12,-0.018,-0.225,0.003,0.00800000000000001,-0.100000000000009,1.3,0.0836755646817247,0.00533333333333343,0.017973856209154,0.0218468229016366,1.10000000000001,0,-0.200000000000003,-3.08630544533006e-06,0,0,-0.00242040588344816,1.59999999999999,-0.0853604599734619,-0.00342572869392421,5.50458715596331,3.1,7.105427357601e-15,-0.100000000000001,1.945123791617,0.0081469368685394,0.0384833050367854,2.99999999999999
"1998-06",0.00100029318938311,0.00284514293456173,-0.0152577319587629,-0.00301240018178262,-0.923004331236462,0.0600000000000023,1.3,-0.170000000000002,-0.0010780508840017,-0.0021738410693305,0.229,-0.00461822660098521,-0.00461822660098528,0.0600000000000023,2.09,-0.00700000000000001,-0.204,0.00700000000000001,0.023,-0.0999999999999943,1.3,-0.0426338228327807,-0.00795755968169768,0.00802568218298028,-0.00441599744376377,1,0.100000000000009,-0.399999999999991,0,0,0.00191448627951507,0.000933184023889533,1.5,-0.088007736943907,-0.00323154054539865,9.282245008095,3.1,-0.100000000000001,-0.100000000000001,1.8103126498434,0.00422881969587263,-0.04141689373297,3.10000000000002
"1998-07",0.00363536121017893,0.00347396456556148,0.0202400893355668,-0.00182332026620524,24.3899722892205,0.0699999999999932,1.34,0.380000000000003,-0.024821929635226,-0.00343889135392406,0.141,0.00958861738323535,0.00958861738323547,0.100000000000009,1.79000000000001,-0.00299999999999999,-0.184,-0.00299999999999995,0.04,-0.0999999999999943,1.3,-0.116279069767442,0.021390374331551,0,-0.00691244239631332,1.10000000000001,0.0999999999999943,-0.600000000000009,0.00123915737298621,0.00274977085242911,0,-0.00055938840201375,1.69999999999999,-0.103658536585368,-0.00286713830299712,7.3394495412844,3.1,0.0999999999999943,0.100000000000001,1.9174816380071,0.00490323324968989,0.0221716884593519,-4.2
"1998-08",0.00124459246034481,0.000971265915297836,0.0175126556300451,-0.00379682423704586,-2.64492279452558,0,1.36,-0.100000000000001,-0.0361885790172634,-0.00425438131294964,0.131,-0.00500408496732019,-0.00500408496732028,-0.100000000000009,1.86,-0.00800000000000001,-0.2,0.012,-0.02,-1.4210854715202e-14,1.3,0.0951847704367301,-0.0222513089005238,-0.0143312101910772,0.0123659675358429,1,-0.100000000000009,0.799999999999997,0.00123762376237638,0,0,0.000186567164179197,1.5,-0.0683229813664578,-0.00229943415226697,8.95844576362659,3.1,-0.0999999999999943,-0.0999999999999943,1.8110708749104,0.0100456358887517,0.0372636262513903,0
"1998-09",0.00178312715925544,0.00538961849955322,-0.0107570256823988,-0.0062604777870926,-0.889264359407489,-0.0799999999999841,1.27,-0.149999999999999,0.0354805373751281,-0.00464717841769502,0.117,0.0024633069896336,0.00246330698963354,-0.239999999999995,1.85000000000001,-0.011,-0.196,0.005,0.012,0.0999999999999943,1.3,-0.0286298568507157,-0.00669344042838026,-0.00242326332795051,-0.0165298464000485,1,0.100000000000009,-0.0999999999999943,0.00123609394313967,0,-0.00573248407643312,-0.00373064726730088,1.5,-0.0619047619047611,-0.00149464853221437,11.548839719374,3.1,0,0.0999999999999943,1.9007718240047,0.00375095905203038,-0.0203753351206434,4.10000000000001
"1998-10",0.00156601658437228,0.000860009555661678,0.0248742694032893,-0.00446793367952136,-0.287739946157453,-0.0700000000000074,1.22999999999999,-0.0500000000000043,0.0287203371035716,-0.00446789330616193,0.007,-0.0161769222893416,-0.0161769222893416,0.0499999999999972,1.85000000000001,-0.00100000000000001,-0.229,0.00899999999999995,0.001,1.4210854715202e-14,1.3,-0.0210526315789473,0.00673854447439361,-0.0137651821862316,-0.00603720691575579,1.10000000000001,0.199999999999989,0.5,0.00122689977762456,0,-0.00768737988468926,0.0035573862572551,1.5,-0.0582064297800342,-0.000532368377549108,14.0313005936319,3.1,0,-0.100000000000001,1.7826637569532,0.0056054129037737,0.000547345374931618,-4.80000000000003
"1998-11",0.00367395762132605,0.00318884857742985,0.00809018567639264,0.00924074932150676,0.389493051197734,-0.140000000000001,1.09,-0.0100000000000051,0.02339118249434,-0.00340814692674429,0.025,0.0272661046935163,0.0272661046935164,-0.019999999999996,2.40000000000001,-0.015,-0.221,0.00200000000000006,-0.00900000000000001,-0.100000000000009,1.3,-0.0494623655913978,-0.0133868808567604,-0.0131362889983622,-0.0030116784064573,1,0.100000000000009,0.800000000000004,0,0,0,-0.000746268656716453,1.89999999999999,-0.0420409629895797,0.000582136273767464,21.5866162978951,3.1,0,0.100000000000001,1.90520947302549,0.00810787984572503,-0.0229759299781181,10.7
"1998-12",0.00171958797990968,-0.000295030169214061,0.00210498618602806,0.00348930253302338,4.62835708978132,0.039999999999992,1.08,-0.219999999999999,-0.00905835264377441,-0.00217067718645869,0.057,-0.0218822814304528,-0.0218822814304528,-0.0799999999999983,2.40000000000001,-0.027,-0.213,0.00299999999999995,0.022,0,1.3,0.104072398190045,0.00407055630936224,-0.024958402662229,-0.0218112744167535,0.700000000000003,0,0,0,0,-0.0019367333763719,-0.000560119492158284,1.89999999999999,-0.0191297824456109,0.00164236459821487,29.897463572585,3.1,0,0,1.9015283642518,0.00413303918009422,0.0263157894736843,7.59999999999999
